,index,Object,X1,Y1,X2,Y2,MidX,MidY,Z1,Z2,,,,,
100,102,1,865458.8019,1439608.948,865479.6101,1439653.008,865469.2071,1439630.981,-8679.097656,-8577.633789,48.7262126,24.36558408,24.36062852,0.004955558,MID100
101,103,1,865467.8631,1439604.29,865488.9727,1439648.961,865478.4188,1439626.627,-8679.097656,-8577.633789,49.40754335,24.70602754,24.70151582,0.004511724,MID101
102,104,1,865476.9293,1439599.629,865498.33,1439644.916,865487.6306,1439622.274,-8678.414063,-8577.633789,50.08887542,25.04666288,25.04221253,0.004450353,MID102
103,105,1,865485.9955,1439594.968,865507.6874,1439640.871,865496.8424,1439617.921,-8678.414063,-8577.633789,50.77020745,25.38729905,25.3829084,0.004390647,MID103
104,106,1,865495.0587,1439590.308,865517.0493,1439636.824,865506.0541,1439613.566,-8678.414063,-8577.633789,51.45159266,25.72616143,25.72543123,0.000730194,MID104
105,107,1,865504.1318,1439585.644,865526.3981,1439632.782,865515.2659,1439609.215,-8678.414063,-8580.135742,52.13287215,26.06871613,26.06415602,0.004560104,MID105
106,108,1,865513.1868,1439580.988,865535.7705,1439628.731,865524.4777,1439604.858,-8678.414063,-8580.135742,52.81433238,26.40498242,26.40934996,-0.004367545,MID106
107,109,1,865522.2697,1439576.319,865545.1072,1439624.695,865533.6895,1439600.509,-8678.414063,-8580.135742,53.4955394,26.75020016,26.74533924,0.004860923,MID107
108,110,1,865531.3263,1439571.663,865554.4745,1439620.645,865542.9012,1439596.156,-8678.414063,-8588.080078,54.17687306,27.09029553,27.08657752,0.00371801,MID108
109,111,1,865540.3913,1439567.002,865563.8339,1439616.599,865552.113,1439591.802,-8678.414063,-8588.080078,54.85823196,27.43004061,27.42819135,0.001849261,MID109
110,112,1,865549.4617,1439562.339,865573.1861,1439612.556,865561.3248,1439587.45,-8680.455078,-8588.080078,55.53953136,27.77186647,27.76766489,0.004201579,MID110
111,113,1,865558.5254,1439557.679,865582.546,1439608.51,865570.5365,1439583.096,-8680.455078,-8588.080078,56.22086294,28.112414,28.10844894,0.003965066,MID111
112,114,1,865567.7106,1439552.957,865591.807,1439604.702,865579.7483,1439578.807,-8680.455078,-8588.080078,57.08029879,28.51529235,28.56500644,-0.049714085,MID112
113,115,1,865577.1088,1439548.125,865600.7991,1439601.244,865588.9601,1439574.698,-8677.167969,-8588.080078,58.16252966,29.0962835,29.06624615,0.03003735,MID113
114,116,1,865588.0689,1439544.162,865608.2759,1439598.37,865598.1719,1439571.265,-8677.167969,-8588.080078,57.85113549,28.92405784,28.92707765,-0.003019807,MID114
115,117,1,865597.3228,1439540.822,865617.4441,1439594.845,865607.3836,1439567.834,-8677.167969,-8588.080078,57.64833915,28.82461225,28.82372689,0.00088536,MID115
116,118,1,865606.5595,1439537.487,865626.6323,1439591.312,865616.5954,1439564.398,-8677.167969,-8591.644531,57.44551034,28.72127535,28.72423499,-0.002959641,MID116
117,119,1,865615.8171,1439534.145,865635.797,1439587.788,865625.8072,1439560.967,-8677.167969,-8591.644531,57.24271257,28.62175469,28.62095788,0.000796801,MID117
118,120,1,865625.054,1439530.811,865644.9849,1439584.255,865635.0189,1439557.532,-8661.12207,-8591.644531,57.03988403,28.51844976,28.52143427,-0.002984515,MID118
119,121,1,865634.3141,1439527.468,865654.1463,1439580.733,865644.2307,1439554.102,-8661.12207,-8591.644531,56.8370965,28.42001375,28.41708275,0.002930999,MID119
120,122,1,865643.5489,1439524.135,865663.3361,1439577.2,865653.4425,1439550.667,-8661.12207,-8612.287109,56.63426863,28.31708238,28.31718626,-0.000103877,MID120
121,123,1,865652.7971,1439520.796,865672.5125,1439573.671,865662.6542,1439547.232,-8661.12207,-8612.287109,56.43144408,28.21419633,28.21724775,-0.003051423,MID121
122,124,1,865662.0482,1439517.456,865681.6849,1439570.145,865671.866,1439543.799,-8661.12207,-8612.287109,56.22863032,28.1127405,28.11588982,-0.003149319,MID122
123,125,1,865671.2954,1439514.118,865690.8613,1439566.617,865681.0778,1439540.366,-8661.12207,-8612.287109,56.0258172,28.01132824,28.01448896,-0.003160716,MID123
124,126,1,865680.5426,1439510.78,865700.0376,1439563.088,865690.2896,1439536.933,-8661.12207,-8612.287109,55.82300406,27.90991594,27.91308813,-0.00317219,MID124
125,127,1,865689.7898,1439507.442,865709.214,1439559.56,865699.5013,1439533.5,-8660.004883,-8612.287109,55.62019093,27.80850358,27.81168735,-0.003183768,MID125
126,128,1,865699.037,1439504.104,865718.3903,1439556.032,865708.7131,1439530.066,-8660.004883,-8612.287109,55.4173778,27.7070912,27.7102866,-0.003195402,MID126
127,129,1,865708.2842,1439500.766,865727.5667,1439552.504,865717.9249,1439526.633,-8660.004883,-8599.847656,55.21456467,27.60567876,27.60888591,-0.003207151,MID127
128,130,1,865717.5314,1439497.428,865736.743,1439548.976,865727.1366,1439523.2,-8660.004883,-8599.847656,55.01175154,27.50426629,27.50748526,-0.003218974,MID128
129,131,1,865726.7785,1439494.089,865745.9194,1439545.447,865736.3484,1439519.767,-8642.936523,-8599.847656,54.8089384,27.40285376,27.40608464,-0.003230884,MID129
130,132,1,865736.0257,1439490.751,865755.0958,1439541.919,865745.5602,1439516.334,-8642.936523,-8599.847656,54.60612528,27.3014412,27.30468408,-0.00324288,MID130
131,133,1,865745.2729,1439487.413,865764.2721,1439538.391,865754.7719,1439512.901,-8642.936523,-8599.847656,54.40331215,27.20002859,27.20328356,-0.003254971,MID131
132,134,1,865754.5201,1439484.075,865773.4485,1439534.863,865763.9837,1439509.467,-8642.936523,-8599.847656,54.20049901,27.09861593,27.10188308,-0.003267148,MID132
133,135,1,865763.7746,1439480.734,865782.6153,1439531.338,865773.1955,1439506.038,-8642.936523,-8595.977539,53.99771408,27.00040451,26.99730957,0.003094932,MID133
134,136,1,865773.7195,1439477.63,865791.0874,1439528.081,865782.4073,1439502.867,-8642.936523,-8595.977539,53.35684733,26.69020353,26.6666438,0.023559725,MID134
135,137,1,865784.0783,1439474.709,865799.161,1439525.564,865791.619,1439500.134,-8626.297852,-8595.977539,53.04456133,26.52003047,26.52453086,-0.004500391,MID135
